ID	daaset	HPVpos_Clusters
SS_VUMC_OP_7250	BD2	Cl1
SS_VUMC_OP_7373	BD2	Cl3
SS_VUMC_OP_7387	BD2	Cl2
SS_VUMC_OP_7410	BD2	Cl1
SS_VUMC_OP_7466	BD2	Cl3
SS_VUMC_OP_7702	BD2	Cl3
SS_VUMC_OP_775	BD2	Cl1
SS_VUMC_OP_7756	BD2	Cl1
SS_VUMC_OP_7942	BD2	Cl1
SS_VUMC_OP_8143	BD2	Cl3
SS_VUMC_OP_8155	BD2	Cl2
SS_VUMC_OP_8182	BD2	Cl1
SS_VUMC_OP_8325	BD2	Cl2
SS_VUMC_OP_8564	BD2	Cl2
SS_VUMC_OP_9036	BD2	Cl3
SS_VUMC_OP_9077	BD2	Cl1
SS_VUMC_OP_9154	BD2	Cl1
SS_VUMC_OP_924	BD2	Cl1
SS_VUMC_OP_9259	BD2	Cl3
SS_VUMC_OP_9555	BD2	Cl2
SS_VUMC_OP_9573	BD2	Cl2
SS_VUMC_OP_9633	BD2	Cl1
SS_VUMC_OP_9957	BD2	Cl1
UPHN20A	metanalysis	Cl1
UPHN21A	metanalysis	Cl3
UPHN22A	metanalysis	Cl1
UPHN23A	metanalysis	Cl1
UPHN27A	metanalysis	Cl3
UPHN29A	metanalysis	Cl1
UPHN2A	metanalysis	Cl2
UPHN4A	metanalysis	Cl2
UPHN5A	metanalysis	Cl2
UPHN7A	metanalysis	Cl3
VC200	metanalysis	Cl1
VC205	metanalysis	Cl2
VC207	metanalysis	Cl2
VC208	metanalysis	Cl2
VC210	metanalysis	Cl2
VC212	metanalysis	Cl2
VC213	metanalysis	Cl3
X0205_AH.2.47_H_PHNH001	metanalysis	Cl1
X0205_AH.2.48_H_PHNH005	metanalysis	Cl1
X0205_AH.2.49_H_PHNH014	metanalysis	Cl1
X0205_AH.2.51_H_PHNH016	metanalysis	Cl3
X0405_AH.2.73_H_M021T01	metanalysis	Cl2
X0505_AH.2.97_H_M029T01	metanalysis	Cl1
X1104_AH.2.11_H_W011T01	metanalysis	Cl3
X1104_AH.2.13_H_W013T01	metanalysis	Cl3
X1104_AH.2.15_H_W015T01	metanalysis	Cl2
X1104_AH.2.3_H_W003T01	metanalysis	Cl3
X1204_AH.2.19_W019T01	metanalysis	Cl2
X1204_AH.2.34_H_W034T01	metanalysis	Cl2
X1204_AH.2.37_H_W037T01	metanalysis	Cl3
X4569632007_C	metanalysis	Cl2
X4569632039_A	metanalysis	Cl1
X4569632039_F	metanalysis	Cl1
X4569632041_C	metanalysis	Cl3
X4569632043_F	metanalysis	Cl1
X4569632045_C	metanalysis	Cl1
X4569632047_C	metanalysis	Cl3
X4569632048_C	metanalysis	Cl1
X4569632048_F	metanalysis	Cl1
X4569632062_A	metanalysis	Cl1
X4569632063_B	metanalysis	Cl3
X4569632066_F	metanalysis	Cl3
X4569632069_F	metanalysis	Cl3
X4697141007_E	metanalysis	Cl1
X4697141008_A	metanalysis	Cl2
X4697141053_D	metanalysis	Cl2
X4697141054_C	metanalysis	Cl3
X4697141054_F	metanalysis	Cl2
X4697141067_B	metanalysis	Cl1
X4697141082_D	metanalysis	Cl3
X4697141082_F	metanalysis	Cl1
X4697141093_A	metanalysis	Cl1
X4697141116_C	metanalysis	Cl1
X4744955075_F	metanalysis	Cl3
X4744955079_F	metanalysis	Cl1
X4744955080_E	metanalysis	Cl2
X5051018004_A	metanalysis	Cl3
X5051018005_D	metanalysis	Cl3
X5051018005_E	metanalysis	Cl2
X5051018037_E	metanalysis	Cl3
X5058818039_A	metanalysis	Cl2
X9965280069_A.AVG	metanalysis	Cl1
X9965280069_F.AVG	metanalysis	Cl3
X9965280069_H.AVG	metanalysis	Cl1
X9965280069_K.AVG	metanalysis	Cl2
X9965280081_A.AVG	metanalysis	Cl3
X9965280081_C.AVG	metanalysis	Cl3
X9965280081_F.AVG	metanalysis	Cl1
X9965280081_H.AVG	metanalysis	Cl3
X9965280081_I.AVG	metanalysis	Cl1
X9965280081_J.AVG	metanalysis	Cl3
X9965280081_K.AVG	metanalysis	Cl1
X9965280081_L.AVG	metanalysis	Cl3
X9965280097_A.AVG	metanalysis	Cl2
X9965280097_B.AVG	metanalysis	Cl1
X9965280097_C.AVG	metanalysis	Cl1
X9965280097_D.AVG	metanalysis	Cl2
X9965280097_G.AVG	metanalysis	Cl2
X9965280097_K.AVG	metanalysis	Cl1
